,File,Date,Description,Original value,Currency,Budget 0,Manual bgt
555,Lag USA20 - Losses,2020-04-01,Credit card,-489.29,BRL,Credit card,
556,Lag USA20 - Losses,2020-04-01,FSP,-29.9,BRL,Folha de SP,
557,Lag USA20 - Losses,2020-04-01,401k ,-292.52567064167613,USD,Other pre-tax deductions,
558,Lag USA20 - Losses,2020-04-01,Health care,-109.82559894929248,USD,Health care fee,
559,Lag USA20 - Losses,2020-04-01,Dental and Vision,-14.127891962282725,USD,Dental fee,
560,Lag USA20 - Losses,2020-04-01,Metro,-85.6483057759634,USD,Metro fee,
561,Lag USA20 - Losses,2020-04-01,HSA,-188.42627270711947,USD,Intra-transter,
562,Lag USA20 - Losses,2020-04-01,Laundry,-39.375,USD,Laundry,
563,Lag USA20 - Losses,2020-04-01,EK studies,-28.63,USD,EK Concordia,
564,Lag USA20 - Losses,2020-04-01,Other mid,-62.03,USD,Other mid,
565,Lag USA20 - Losses,2020-04-01,Other mid,-91.36,USD,Other mid,
566,Lag USA20 - Losses,2020-04-01,Other mid,-14.86,USD,Other mid,
567,Lag USA20 - Losses,2020-04-01,Other MN free,-70.11,USD,Other MN free,
568,Lag USA20 - Losses,2020-04-01,Other mid,-28.91,USD,Other mid,
569,Lag USA20 - Losses,2020-05-01,Investment,-1000.0,USD,Intra-transter,
570,Lag USA20 - Losses,2020-05-01,Other EK free,-50.0,USD,Other EK free,
571,Lag USA20 - Losses,2020-05-01,Other MN free,-50.0,USD,Other MN free,
572,Lag USA20 - Losses,2020-05-01,Electricity,-30.99,USD,Electricity,
573,Lag USA20 - Losses,2020-05-01,Supermarket,-426.09999999999997,USD,Supermarket,
574,Lag USA20 - Losses,2020-05-01,Turism,-60.629999999999995,USD,Other tourism,
575,Lag USA20 - Losses,2020-05-01,Hulu,-66.42999999999999,USD,Hulu,
576,Lag USA20 - Losses,2020-05-01,Other EK free,-9.99,USD,Other EK free,
577,Lag USA20 - Losses,2020-05-01,Restaurant,-145.79,USD,Restaurant,
578,Lag USA20 - Losses,2020-05-01,Spotify,-5.44,USD,Spotify,
579,Lag USA20 - Losses,2020-05-01,Internet,-50.0,USD,Internet,
580,Lag USA20 - Losses,2020-05-01,Rent,-1709.58,USD,Rent,
581,Lag USA20 - Losses,2020-05-01,Cellphone,-85.29,USD,Cellphone bill,
582,Lag USA20 - Losses,2020-05-01,Uber,-18.060000000000002,USD,Uber,
583,Lag USA20 - Losses,2020-05-01,Netflix,-6.13,USD,Netflix,
584,Lag USA20 - Losses,2020-05-01,Gifts,-13.65,USD,Other gifts,
585,Lag USA20 - Losses,2020-05-01,Restaurant,-7.28,USD,Restaurant,
586,Lag USA20 - Losses,2020-05-01,Booze,-5.76,USD,Booze,
587,Lag USA20 - Losses,2020-05-01,Restaurant,-36.05,USD,Restaurant,
588,Lag USA20 - Losses,2020-05-01,Other mid,-110.0,USD,Other mid,
589,Lag USA20 - Losses,2020-05-01,Restaurant,-6.67,USD,Restaurant,
590,Lag USA20 - Losses,2020-05-01,Restaurant,-19.96,USD,Restaurant,
591,Lag USA20 - Losses,2020-05-01,Supermarket,-39.3,USD,Supermarket,
592,Lag USA20 - Losses,2020-05-01,Supermarket,-14.33,USD,Supermarket,
593,Lag USA20 - Losses,2020-05-01,Other MN free,-64.36,BRL,Other MN free,
594,Lag USA20 - Losses,2020-05-01,FSP,-29.9,BRL,Folha de SP,
595,Lag USA20 - Losses,2020-05-01,Other mid,94.26,BRL,Other mid,
596,Lag USA20 - Losses,2020-05-01,Credit card,-29.9,BRL,Credit card,
597,Lag USA20 - Losses,2020-05-01,Other mid,-850.0,BRL,Other mid,
598,Lag USA20 - Losses,2020-05-01,Therapy,-600.0,BRL,MN therapy,
599,Lag USA20 - Losses,2020-05-01,Investment,6000.0,BRL,Intra-transter,
600,Lag USA20 - Losses,2020-05-01,Vo Eni,-5000.0,BRL,Help Vo Eni,
601,Lag USA20 - Losses,2020-05-01,Other mid,-14.86,USD,Other mid,
602,Lag USA20 - Losses,2020-05-01,Other MN free,-7.41,USD,Other MN free,
603,Lag USA20 - Losses,2020-05-01,401k ,-289.407,USD,Other pre-tax deductions,
604,Lag USA20 - Losses,2020-05-01,Health care,-108.23821799999999,USD,Health care fee,
605,Lag USA20 - Losses,2020-05-01,Dental and Vision,-13.923692333333333,USD,Dental fee,
606,Lag USA20 - Losses,2020-05-01,Adjustment,927.23,USD,Adjustment,
607,Lag USA20 - Losses,2020-06-01,FX adjustment,-25.64,USD,FX adjustment,
608,Lag USA20 - Losses,2020-06-01,Cellphone EK & MN,-469.61,USD,EK cellphone ,EK cellphone 
609,Lag USA20 - Losses,2020-06-01,Other MN free,-91.22999999999999,USD,Other MN free,
610,Lag USA20 - Losses,2020-06-01,Supermarket,-239.94,USD,Supermarket,
611,Lag USA20 - Losses,2020-06-01,Netflix,-49.25999999999999,USD,Netflix,
612,Lag USA20 - Losses,2020-06-01,Restaurant,-673.1999999999999,USD,Restaurant,
613,Lag USA20 - Losses,2020-06-01,Medicine,-53.23,USD,Medicine,
614,Lag USA20 - Losses,2020-06-01,EK studies,-1600.0,USD,EK Concordia,
615,Lag USA20 - Losses,2020-06-01,Other EK free,-391.97,USD,Other EK free,
616,Lag USA20 - Losses,2020-06-01,Electricity,-32.13,USD,Electricity,
617,Lag USA20 - Losses,2020-06-01,Rent,-1757.41,USD,Rent,
618,Lag USA20 - Losses,2020-06-01,Internet,-50.0,USD,Internet,
619,Lag USA20 - Losses,2020-06-01,Cellphone,-85.29,USD,Cellphone bill,
